Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,3.810000,3.880000,3.800000,3.840000,3.840000,2661900
2020-01-03,3.780000,3.850000,3.770000,3.800000,3.800000,2861600
2020-01-06,3.780000,3.840000,3.760000,3.840000,3.840000,3012600
2020-01-07,3.840000,3.840000,3.720000,3.760000,3.760000,5000600
2020-01-08,3.780000,3.870000,3.760000,3.840000,3.840000,3804800
2020-01-09,3.860000,3.880000,3.750000,3.800000,3.800000,5904700
2020-01-10,3.800000,3.870000,3.790000,3.830000,3.830000,5956000
2020-01-13,3.830000,3.850000,3.800000,3.830000,3.830000,5593400
2020-01-14,3.810000,3.840000,3.790000,3.820000,3.820000,2609400
2020-01-15,3.770000,3.830000,3.700000,3.700000,3.700000,6059700
2020-01-16,3.730000,3.940000,3.700000,3.920000,3.920000,16059000
2020-01-17,3.990000,4.250000,3.950000,4.210000,4.210000,17089200
2020-01-21,4.170000,4.210000,4.080000,4.140000,4.140000,12076000
2020-01-22,4.170000,4.330000,4.150000,4.240000,4.240000,11424300
2020-01-23,4.170000,4.250000,4.090000,4.240000,4.240000,9381800
2020-01-24,4.260000,4.280000,4.190000,4.220000,4.220000,9452000
2020-01-27,4.100000,4.180000,4.040000,4.150000,4.150000,9134300
2020-01-28,4.160000,4.370000,4.160000,4.350000,4.350000,8751300
2020-01-29,4.370000,4.370000,4.210000,4.270000,4.270000,15948900
2020-01-30,4.200000,4.240000,4.110000,4.200000,4.200000,6336100
2020-01-31,4.170000,4.180000,4.030000,4.040000,4.040000,7168400
2020-02-03,4.070000,4.220000,4.050000,4.220000,4.220000,6591400
2020-02-04,4.230000,4.300000,4.200000,4.280000,4.280000,9315900
2020-02-05,4.320000,4.330000,4.170000,4.190000,4.190000,4765800
2020-02-06,4.210000,4.240000,4.130000,4.190000,4.190000,3276800
2020-02-07,4.160000,4.220000,4.120000,4.180000,4.180000,2742300
2020-02-10,4.170000,4.210000,4.120000,4.150000,4.150000,2193400
2020-02-11,4.160000,4.350000,4.130000,4.350000,4.350000,17188600
2020-02-12,4.160000,4.180000,4.040000,4.120000,4.120000,22521200
2020-02-13,4.120000,4.140000,3.880000,3.950000,3.950000,15467800
2020-02-14,3.950000,4.020000,3.860000,3.900000,3.900000,5730800
2020-02-18,3.870000,3.920000,3.760000,3.780000,3.780000,9238500
2020-02-19,3.810000,3.810000,3.690000,3.780000,3.780000,15685800
2020-02-20,3.780000,3.820000,3.720000,3.740000,3.740000,8533100
2020-02-21,3.710000,3.830000,3.700000,3.790000,3.790000,8421400
2020-02-24,3.650000,3.800000,3.620000,3.740000,3.740000,22921500
2020-02-25,3.750000,3.770000,3.620000,3.640000,3.640000,9531000
2020-02-26,3.660000,3.690000,3.370000,3.380000,3.380000,21933000
2020-02-27,3.300000,3.420000,3.160000,3.230000,3.230000,15668900
